          -3   5.3383e-06            0
       -2.99  5.34345e-06  1.02167e-06
       -2.98  5.35873e-06  2.02468e-06
       -2.97  5.38395e-06  3.01105e-06
       -2.96  5.41895e-06  3.98266e-06
       -2.95   5.4636e-06  4.94125e-06
       -2.94  5.51777e-06  5.88845e-06
       -2.93  5.58137e-06  6.82575e-06
       -2.92  5.65429e-06  7.75454e-06
       -2.91  5.73646e-06   8.6761e-06
        -2.9  5.82781e-06  9.59161e-06
       -2.89  5.92829e-06  1.05022e-05
       -2.88  6.03786e-06  1.14087e-05
       -2.87  6.15647e-06  1.23122e-05
       -2.86   6.2841e-06  1.32135e-05
       -2.85  6.42074e-06  1.41132e-05
       -2.84  6.56636e-06  1.50122e-05
       -2.83  6.72098e-06  1.59109e-05
       -2.82  6.88458e-06  1.68099e-05
       -2.81  7.05718e-06  1.77097e-05
        -2.8  7.23878e-06  1.86107e-05
       -2.79  7.42939e-06  1.95132e-05
       -2.78  7.62904e-06  2.04175e-05
       -2.77  7.83774e-06  2.13238e-05
       -2.76  8.05552e-06  2.22324e-05
       -2.75  8.28239e-06  2.31433e-05
       -2.74  8.51838e-06  2.40567e-05
       -2.73  8.76352e-06  2.49724e-05
       -2.72  9.01783e-06  2.58906e-05
       -2.71  9.28133e-06  2.68112e-05
        -2.7  9.55406e-06   2.7734e-05
       -2.69  9.83601e-06  2.86589e-05
       -2.68  1.01272e-05  2.95857e-05
       -2.67  1.04277e-05  3.05142e-05
       -2.66  1.07375e-05  3.14441e-05
       -2.65  1.10566e-05  3.23751e-05
       -2.64   1.1385e-05  3.33069e-05
       -2.63  1.17227e-05  3.42391e-05
       -2.62  1.20698e-05  3.51712e-05
       -2.61  1.24262e-05   3.6103e-05
        -2.6  1.27919e-05  3.70338e-05
       -2.59  1.31668e-05  3.79631e-05
       -2.58  1.35511e-05  3.88906e-05
       -2.57  1.39447e-05  3.98156e-05
       -2.56  1.43474e-05  4.07375e-05
       -2.55  1.47594e-05  4.16558e-05
       -2.54  1.51806e-05  4.25698e-05
       -2.53  1.56108e-05  4.34789e-05
       -2.52  1.60501e-05  4.43824e-05
       -2.51  1.64985e-05  4.52797e-05
        -2.5  1.69557e-05    4.617e-05
       -2.49  1.74219e-05  4.70527e-05
       -2.48  1.78968e-05   4.7927e-05
       -2.47  1.83804e-05  4.87922e-05
       -2.46  1.88726e-05  4.96475e-05
       -2.45  1.93733e-05  5.04923e-05
       -2.44  1.98825e-05  5.13256e-05
       -2.43  2.03999e-05  5.21469e-05
       -2.42  2.09254e-05  5.29551e-05
       -2.41   2.1459e-05  5.37497e-05
        -2.4  2.20004e-05  5.45298e-05
       -2.39  2.25496e-05  5.52946e-05
       -2.38  2.31063e-05  5.60434e-05
       -2.37  2.36704e-05  5.67753e-05
       -2.36  2.42418e-05  5.74896e-05
       -2.35  2.48202e-05  5.81855e-05
       -2.34  2.54055e-05  5.88622e-05
       -2.33  2.59975e-05  5.95191e-05
       -2.32  2.65959e-05  6.01552e-05
       -2.31  2.72006e-05  6.07699e-05
        -2.3  2.78113e-05  6.13625e-05
       -2.29  2.84278e-05  6.19322e-05
       -2.28  2.90499e-05  6.24784e-05
       -2.27  2.96774e-05  6.30003e-05
       -2.26  3.03099e-05  6.34972e-05
       -2.25  3.09473e-05  6.39686e-05
       -2.24  3.15893e-05  6.44138e-05
       -2.23  3.22356e-05  6.48322e-05
       -2.22   3.2886e-05  6.52232e-05
       -2.21  3.35401e-05  6.55862e-05
        -2.2  3.41977e-05  6.59206e-05
       -2.19  3.48585e-05  6.62261e-05
       -2.18  3.55222e-05   6.6502e-05
       -2.17  3.61885e-05  6.67479e-05
       -2.16  3.68572e-05  6.69634e-05
       -2.15  3.75278e-05   6.7148e-05
       -2.14  3.82001e-05  6.73015e-05
       -2.13  3.88738e-05  6.74233e-05
       -2.12  3.95486e-05  6.75133e-05
       -2.11  4.02241e-05  6.75711e-05
        -2.1     4.09e-05  6.75965e-05
       -2.09   4.1576e-05  6.75892e-05
       -2.08  4.22518e-05  6.75491e-05
       -2.07   4.2927e-05  6.74759e-05
       -2.06  4.36013e-05  6.73697e-05
       -2.05  4.42744e-05  6.72302e-05
       -2.04  4.49459e-05  6.70575e-05
       -2.03  4.56155e-05  6.68515e-05
       -2.02  4.62829e-05  6.66122e-05
       -2.01  4.69478e-05  6.63396e-05
          -2  4.76097e-05  6.60339e-05
       -1.99  4.82685e-05  6.56952e-05
       -1.98  4.89236e-05  6.53236e-05
       -1.97  4.95749e-05  6.49194e-05
       -1.96   5.0222e-05  6.44826e-05
       -1.95  5.08646e-05  6.40136e-05
       -1.94  5.15023e-05  6.35127e-05
       -1.93  5.21348e-05  6.29802e-05
       -1.92  5.27619e-05  6.24164e-05
       -1.91  5.33832e-05  6.18217e-05
        -1.9  5.39983e-05  6.11965e-05
       -1.89  5.46071e-05  6.05413e-05
       -1.88  5.52092e-05  5.98566e-05
       -1.87  5.58042e-05  5.91428e-05
       -1.86   5.6392e-05  5.84004e-05
       -1.85  5.69722e-05  5.76302e-05
       -1.84  5.75446e-05  5.68325e-05
       -1.83  5.81089e-05  5.60081e-05
       -1.82  5.86648e-05  5.51576e-05
       -1.81   5.9212e-05  5.42816e-05
        -1.8  5.97504e-05  5.33808e-05
       -1.79  6.02797e-05  5.24559e-05
       -1.78  6.07995e-05  5.15077e-05
       -1.77  6.13098e-05  5.05369e-05
       -1.76  6.18103e-05  4.95443e-05
       -1.75  6.23007e-05  4.85307e-05
       -1.74  6.27809e-05  4.74968e-05
